OBJECTID,FID_precipitation_Output_Features,lat,lon,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
500,5794,23.625,112.375,1680.627,1535.88,1882.641,1970.36,1861.896,1883.968,1558.673,1694.549,1232.236,1943.457,1404.833,1971.222,1688.071,2219.86,1666.044,1071.526,1589.52,1900.24,1453.371,1554.396,1619.115,1719.484,1746.052,1685.021,1963.32,2152.409,1634.302,2125.533,1566.465,1413.287,1742.71,1679.275,1736.861,1962.845,1700.216,2077.534,1453.554,1724.395,1461.769,1762.579,1613.564,1626.668,1458.067,1225.667,1775.729,1920.176,2168.098,1766.458,1730.665,2055.376,1767.332,1460.657,1375.531,2115.466,1761.401,1285.882,1436.502,1865.565,1899.421,1306.552,1746.235,1494.154,1688.356,1396.665,1872.838,1974.604,1950.863,1919.854,2351.818
6967,18019,35.625,96.625,196.122,189.902,179.492,208.612,238.762,162.362,211.206,185.601,138.264,162.759,206.927,187.74,192.494,192.768,210.429,245.079,176.478,129.449,183.166,253.844,135.262,158.612,230.196,260.018,139.555,180.622,146.887,222.719,147.846,222.876,155.368,242.654,175.753,164.929,285.729,206.964,143.067,219.955,256.094,225.834,293.236,356.514,139.028,164.472,194.793,165.879,202.286,132.43,198.545,196.162,254.502,212.245,179.262,154.015,294.375,155.913,242.155,266.814,229.136,276.695,250.593,296.95,294.098,217.86,305.714,171.664,257.534,238.159,108.801
10604,23154,40.625,100.375,130.84,82.052,89.53,99.4,120.54,109.608,118.399,137.103,67.486,66.47,160.785,136.802,105.787,80.542,63.119,93.959,152.995,94.85,124.821,96.019,67.526,158.411,91.502,152.929,94.707,137.039,93.969,129.074,96.938,127.918,87.844,186.349,82.899,135.871,91.505,97.172,83.046,85.656,67.939,71.539,92.146,76.99,115.994,121.963,115.434,144.614,139.478,178.66,97.589,114.475,89.713,153.292,103.752,63.543,118.872,109.757,67.069,116.292,106.589,137.005,89.352,72.43,106.604,104.18,106.726,111.051,65.187,95.254,129.379
15183,34262,51.375,125.375,522.805,546.531,378.636,676.801,437.761,581.347,419.338,486.875,560.583,464.923,567.426,619.269,399.977,563.971,490.666,569.349,424.828,435.181,514.643,499.493,430.543,378.469,458.659,427.629,550.453,412.015,456.027,520.58,399.684,486.952,455.219,385.565,508.505,578.491,631.614,597.2,570.744,555.384,425.427,553.789,535.141,521.039,583.014,519.362,546.805,603.879,475.505,494.378,459.956,439.784,590.351,450.704,440.487,407.216,387.024,567.724,489.755,419.619,406.187,340.482,450.845,600.385,533.625,450.809,513.892,642.465,415.195,385.538,476.07
4254,13894,31.625,89.375,566.374,551.429,532.41,601.468,627.686,505.918,602.567,531.996,456.743,375.128,332.251,375.478,434.919,452.507,541.574,706.552,454.765,457.91,444.875,563.98,519.719,560.089,478.319,638.368,344.39,588.415,585.51,455.39,521.526,590.471,456.334,465.066,790.425,567.88,619.889,462.527,453.077,591.733,460.526,478.761,597.123,626.618,658.171,576.494,438.93,563.635,354.129,506.201,622.281,586.866,581.441,649.082,580.218,588.349,564.492,718.315,671.738,664.246,473.825,709.004,780.064,586.177,533.841,811.641,565.265,655.816,567.631,353.258,560.474
6969,18021,35.625,97.125,206.605,194.542,190.266,221.042,244.128,176.426,221.387,211.143,160.024,188.253,249.8,206.255,195.78,226.394,197.931,238.788,199.991,145.588,189.6,263.755,160.764,179.925,226.713,272.591,156.271,189.892,185.066,266.697,172.955,220.562,166.062,245.505,189.744,195.055,292.068,216.599,163.311,236.605,266.361,237.021,273.404,380.585,165.269,185.193,230.669,191.786,224.298,153.767,202.553,214.506,259.585,225.251,206.218,166.303,324.62,171.703,277.168,297.255,253.252,307.248,271.935,314.276,292.016,244.458,329.158,195.724,269.347,257.568,250.566
6287,16981,34.625,93.125,190.731,201.139,183.37,179.776,217.6,151.348,212.44,155.676,94.657,195.184,179.54,174.584,167.694,188.815,195.832,208.976,182.047,188.932,191.388,207.219,167.553,157.12,181.113,201.802,202.784,142.687,230.36,192.92,187.131,201.609,142.59,141.377,170.797,222.017,191.898,195.207,111.465,234.322,148.616,165.538,172.91,246.537,154.515,202.377,164.017,181.353,157.774,175.959,221.215,192.072,207.941,223.604,192.338,205.344,252.194,179.607,203.246,233.383,187.679,207.272,257.372,294.209,239.984,244.586,251.104,178.69,276.283,160.284,191.185
3055,11969,29.625,120.125,1639.959,1884.469,1628.843,1582.567,1740.999,1533.605,2067.924,1298.239,1530.492,1468.077,1367.691,1605.772,1380.433,1522.115,1465.137,1259.352,1267.452,1294.599,1256.944,1044.199,1229.73,1416.494,1426.324,1177.876,1382.93,1891.034,1592.762,1717.479,1274.965,1576.383,968.687,1027.194,1476.443,1395.926,1331.889,1776.038,1504.111,1235.157,1250.063,1646.302,1384.503,1681.604,1500.647,1316.916,1559.657,1676.783,1479.922,1524.195,1391.564,1464.022,1558.645,1617.115,1402.746,1506.294,1758.18,1006.843,1112.755,1245.427,1235.126,1366.92,1262.627,1435.622,1829.917,1347.224,1850.9,1410.429,1526.735,1868.481,1746.751
10773,23390,40.875,95.375,88.698,74.64,50.404,56.702,85.457,33.315,47.085,56.942,24.842,30.758,46.491,55.713,26.792,41.077,56.685,39.978,51.964,27.184,47.305,50.244,36.154,80.849,56.246,103.037,59.657,76.161,40.793,59.267,74.482,62.915,48.521,124.791,43.379,84.64,49.278,49.233,58.272,26.515,26.595,52.047,59.229,33.237,53.485,32.409,52.738,78.084,40.862,76.843,51.493,50.697,50.774,43.885,42.705,48.893,48.17,66.036,41.179,45.625,56.106,84.06,18.706,33.931,49.291,44.307,92.208,49.27,41.178,45.245,95.444
10936,23620,41.125,88.875,61.692,76.795,52.72,78.967,66.324,66.646,56.48,28.05,31.415,28.881,100.28,84.821,39.621,43.161,59.119,47.814,87.905,65.839,60.452,37.729,19.354,53.256,64.979,75.765,85.418,81.695,95.189,61.254,62.394,72.093,68.511,114.769,37.951,106.562,49.902,62.049,84.367,53.83,50.368,109.955,89.631,59.105,119.42,70.937,53.411,68.625,71.332,42.683,55.878,38.236,95.001,52.606,71.726,61.361,94.908,120.493,48.443,78.593,52.323,98.767,93.875,39.117,60.156,37.269,57.128,72.634,42.227,84.084,90.825
